userid,fname,lname,dob,sex,height,weight,blood_type,race,origin_country_code,origin_country_name,address,address_country_code,address_country_name,last_update
10001,Alexandria,Camus,19580313,F,168,51,A-,W,FR,France,"67, Rue De Jacques, 97326 Sainte Thibautbourg",FR,France,2024-10-28T12:09:13Z
10002,Luisa,Torrents,19960801,F,160,67,A+,B,ES,Spain,"Avenida De Alma Isern 45, Soria, 21142",ES,Spain,2024-10-28T12:09:13Z
10003,Luke,Mccann,19280322,M,174,77,A+,A,AU,Australia,"04 Cabrera Point, Gutierrezview, Nsw, 2916",AU,Australia,2024-10-28T12:09:14Z
10004,Christopher,Shaw,19361214,M,177,76,O+,A,US,United States,"901 Michele Way, Kellyview, Or 05127",US,United States,2024-10-28T12:09:14Z
10005,Cruz,Castelló,19961212,M,180,83,O+,H,ES,Spain,"Avenida De Martina Alarcón 63 Puerta 5 , Madrid, 27621",ES,Spain,2024-10-28T12:09:14Z
10006,Øystein,Kristoffersen,19240318,M,178,89,A+,W,NO,Norway,"Aasstranda 5C, 0506 Mariusvik",NO,Norway,2024-10-28T12:09:14Z
10007,Brittany,Garrett,19490124,F,157,72,O+,O,AU,Australia,"Flat 84 95 Louis Lees, West Beth, Nsw, 2028",AU,Australia,2024-10-28T12:09:14Z
10008,Galasso,Anastasi,19480505,M,182,83,O+,W,IT,Italy,"Vicolo Maurizio, 331, 76125, Trani (Bt)",IT,Italy,2024-10-28T12:09:14Z
10009,Romolo,Alboni,19660831,M,169,94,A+,W,IT,Italy,"Strada Elmo, 30, 80030, Liveri (Na)",IT,Italy,2024-10-28T12:09:14Z
10010,Mare,van der Spaendonc,19520624,F,166,56,A+,A,NL,Netherlands,"Nickstraat 4, 5016 Nr, Puiflijk",NL,Netherlands,2024-10-28T12:09:14Z
10011,Robert,Madsen,19481101,M,162,85,O+,W,NO,Norway,"Hanssenfaret 3, 8993 Aasen",NO,Norway,2024-10-28T12:09:14Z
10012,Hjalte,Hermansen,19380323,M,184,88,O+,B,DK,Denmark,"Limfjordsgade 321, 1163 Skælskør",DK,Denmark,2024-10-28T12:09:14Z
10013,Trond,Ruud,19840626,M,165,84,AB+,B,NO,Norway,"Bøespranget 6, 3161 Ahmed",NO,Norway,2024-10-28T12:09:14Z
10014,Esther,Mohaupt,19440430,F,154,66,O+,W,DE,Germany,"Römerplatz 6, 12519 Niesky",DE,Germany,2024-10-28T12:09:14Z
